#Agent	Tech	Prop	age
291	0	40575	4
291	34	25990	1
292	0	8588	4
293	0	65296	4
293	111	8989	3
294	0	73981	4
295	0	111078	4
296	0	5404	4
297	0	170041	4
298	0	149949	4
299	0	54638	4
300	0	17114	4
301	0	6170	4
301	45	61327	1
302	0	189315	4
303	0	5914	4
304	0	63276	4
305	0	122931	4
306	0	2154	4
306	100	5238	2
307	0	98481	4
308	0	27310	4
308	121	122677	3
309	0	128699	4
310	0	97331	4
311	0	149333	4
312	0	147472	4
313	0	13068	4
314	0	127687	4
314	111	59875	1
315	0	4545	4
315	111	1141	1
316	0	8313	4
316	121	6177	0
317	0	39861	4
318	0	92556	4
319	0	28267	4
320	0	49189	4
321	0	81386	4
322	0	21273	4
322	67	102502	3
323	0	78840	4
324	0	193839	4
325	0	22930	4
325	121	105682	3
326	0	14490	4
326	111	20537	2
327	0	34559	4
327	121	14425	1
328	0	7618	4
329	0	152017	4
330	0	51434	4
330	111	12242	0
331	0	48742	4
332	0	23162	4
333	0	77071	4
334	0	56920	4
334	78	27328	2
335	0	103230	4
336	0	85939	4
337	0	97920	4
338	0	56550	4
339	0	103145	4
339	67	82371	0
340	0	41762	4
341	0	48343	4
341	122	100083	0
342	0	130819	4
343	0	71522	4
344	0	40020	4
345	0	33805	4
346	0	126737	4
347	0	90724	4
347	121	100925	3
348	0	31497	4
348	122	76486	3
349	0	48367	4
349	99	4137	2
350	0	191954	4
351	0	196832	4
352	0	27026	4
352	78	19413	3
353	0	118260	4
353	45	71606	3
354	0	12150	4
354	99	54673	0
355	0	59686	4
356	0	70955	4
356	89	30818	3
357	0	3043	4
358	0	37824	4
358	99	22162	0
359	0	56520	4
360	0	187295	4
361	0	105810	4
362	0	46678	4
363	0	109736	4
364	0	181791	4
365	0	129566	4
366	0	125942	4
367	0	10332	4
367	56	3412	2
368	0	162819	4
369	0	25293	4
370	0	110863	4
371	0	17186	4
371	67	130498	1
372	0	195090	4
373	0	24678	4
374	0	88999	4
375	0	42503	4
376	0	159748	4
377	0	14537	4
378	0	109415	4
378	45	5096	1
379	0	175867	4
380	0	67111	4
381	0	147693	4
382	0	121	4
382	77	30914	0
383	0	135254	4
384	0	85420	4
385	0	146928	4
386	0	160764	4
387	0	22302	4
388	0	73130	4
389	0	10384	4
390	0	179528	4
391	0	121904	4
392	0	51359	4
393	0	58802	4
393	77	24828	0
394	0	16105	4
395	0	23073	4
395	111	98005	1
396	0	20015	4
396	122	72422	0
397	0	167369	4
398	0	23559	4
399	0	122329	4
400	0	163899	4
400	99	2731	3
401	0	37591	4
401	122	42718	0
402	0	109717	4
403	0	29096	4
404	0	22132	4
405	0	84815	4
406	0	141245	4
407	0	137263	4
408	0	180856	4
409	0	97673	4
409	78	10545	1
410	0	61708	4
411	0	35729	4
411	88	78136	0
412	0	55324	4
412	88	59037	3
413	0	175205	4
414	0	11274	4
414	110	3595	0
415	0	120565	4
416	0	76676	4
417	0	77630	4
418	0	50347	4
419	0	4136	4
419	111	12606	2
420	0	54337	4
421	0	21945	4
422	0	24731	4
423	0	100195	4
423	111	96422	0
424	0	197109	4
425	0	22598	4
425	122	40421	1
426	0	12860	4
426	122	60109	2
427	0	18281	4
427	110	13171	0
428	0	59057	4
429	0	172111	4
430	0	6317	4
431	0	66633	4
431	121	45836	0
432	0	162817	4
433	0	5747	4
433	111	464	0
434	0	58145	4
435	0	11079	4
435	56	129772	3
436	0	19664	4
437	0	111478	4
438	0	194174	4
439	0	173638	4
440	0	38162	4
440	111	50388	1
441	0	53278	4
441	122	129525	1
442	0	173839	4
442	122	20391	1
443	0	120641	4
444	0	198555	4
445	0	68593	4
445	56	35591	0
446	0	163550	4
447	0	131308	4
447	122	4098	1
448	0	136422	4
449	0	41803	4
449	121	20945	2
450	0	183649	4
451	0	160776	4
452	0	6914	4
453	0	83568	4
454	0	16151	4
